,cgpa,iq,placement
0,7.88,86,0
1,8.34,100,1
2,6.0,132,1
3,5.46,132,0
4,9.01,90,1
5,7.66,87,0
6,5.13,98,0
7,6.05,123,1
8,5.12,97,0
9,8.22,129,1
10,7.45,99,1
11,7.02,102,0
12,8.64,85,1
13,8.41,95,1
14,8.14,106,1
15,6.25,98,0
16,9.31,106,1
17,5.46,109,0
18,5.44,107,0
19,7.72,87,0
20,8.28,119,1
21,5.56,109,0
22,5.35,103,0
23,8.73,124,1
24,8.98,108,1
25,7.6,130,1
26,5.31,127,0
27,6.03,103,0
28,9.43,99,1
29,8.9,109,1
30,6.25,125,1
31,8.75,95,1
32,6.67,98,0
33,8.02,129,1
34,9.21,126,1
35,5.32,125,0
36,5.77,131,1
37,6.1,114,0
38,6.71,125,1
39,8.1,99,1
40,8.08,134,1
41,8.49,99,1
42,8.7,105,1
43,6.81,89,0
44,5.95,121,0
45,8.94,105,1
46,5.96,116,0
47,6.78,126,1
48,7.06,101,0
49,5.63,132,1
50,7.53,101,1
51,8.36,112,1
52,9.04,110,1
53,6.63,93,0
54,7.29,90,0
55,8.4,92,1
56,5.69,95,0
57,8.56,112,1
58,7.68,109,1
59,6.72,114,1
60,7.38,120,1
61,8.87,85,1
62,8.06,92,1
63,8.07,119,1
64,8.38,134,1
65,7.88,92,1
66,6.32,95,0
67,7.04,131,1
68,8.94,101,1
69,9.37,133,1
70,5.8,91,0
71,8.92,104,1
72,8.79,117,1
73,7.74,94,1
74,6.68,95,0
75,7.43,134,1
76,9.15,85,1
77,7.7,116,1
78,5.09,108,0
79,8.95,104,1
80,6.08,100,0
81,8.95,90,1
82,5.39,116,0
83,8.67,133,1
84,7.4,93,0
85,5.58,115,0
86,9.26,95,1
87,6.19,123,1
88,6.9,98,0
89,9.18,133,1
90,8.28,97,1
91,8.21,110,1
92,9.48,126,1
93,6.68,118,1
94,7.03,100,0
95,6.01,106,0
96,5.09,120,0
97,6.04,99,0
98,5.03,130,0
99,7.84,99,1
